Year,Author,Title,Species,"Phyllum (Cnidarian, Mollusc, Echinoderm, Crustacean, Annelid, Bryzoan)",Stressor,Method (Metabolomics or Lipidomics),"Data Acquisition (Targeted, Semi-targeted, or Untargeted)",Platform,Steady State or Metabolic Flux?,Statistical Methods,Enrichment Method,Whole-Organism Physiological Traits Assessed,Other -Omic Methods,Integrative analysis,Take Homes,Abstract,DOI,Source
2025,"Cai, Haowei; Zhang, Mo; Gao, Rui; Liu, Ying; Gao, Xiaolong",Effects of intermittent fasting on behavioral and physiological stress indicators in Pacific abalone during persistent ocean heat waves,Haliotis discus hannai,Mollusc,Temperature,Metabolomics,Untargeted,UHPLC-MS/MS,Steady state,PLSA and VIP,"KEGG annotation, but not enrichment","Survival, growth rate, movement, feeding behavior ",16S microbial diversity,Single analysis with correlations,"Fasting can allow for energy redistribution, which allows for survival in heat wave conditions","Global climate change has increased the frequency of marine heat waves, posing a continuous threat to the survival of economically relevant shellfish species. This, in turn, affects the stability of ecological systems and the security of the aquaculture industry. In this study, we investigated the effects of different fasting regimens (GY: fasting at 1-day intervals, GL: fasting at 2-day intervals) on the behavioral and physiological adaptability of Pacific abalone (Haliotis discus hannai), a marine gastropod, particularly in response to recurrent marine heat waves. Our findings revealed that the survival rates of abalone in both the GY and GL groups were significantly higher than those in the unfasted control group (ZC) (P < 0.05). Furthermore, behavioral assessments revealed that the cumulative distance moved, feeding durations, and the percentage of cumulative feeding time relative to movement time were significantly greater in the GL group compared to both the ZC and GY groups (P < 0.05). Sequencing of the 16S rDNA amplicon revealed that the intestinal microbial community of abalone in the GL group harbored a higher abundance of beneficial bacteria (Arenimonas, Pseudolabrys) compared to the GY and ZC groups. In contrast, the potentially harmful bacterium Tenacibaculum was significantly reduced in the GY group relative to the ZC group (P < 0.05). A non-targeted metabolomics analysis identified amino acids and fatty acids, such as Citrulline, Leu-Pro, and L-Glutamate, as differential metabolic markers. KEGG enrichment analysis indicated that the 'Biosynthesis of amino acids' pathway was significantly enriched in both the GY and GL groups compared to the ZC group (P < 0.05). Further analysis of 23 amino acids showed that 15 and 20 amino acids, including glycine and serine, were downregulated in the GY and GL groups, respectively, compared to the ZC group. Pearson correlation analysis revealed a positive correlation between the relative abundance of both Arenimonas and Pseudolabrys in the abalone's gut and citrulline content in the GY and GL groups (P < 0.05). These findings suggest that intermittent fasting not only promotes energy redistribution, serving as an effective strategy for abalone to cope with oceanic heat waves, but also provides valuable insights into the behavioral and physiological plasticity of marine shellfish in response to global climate change.",10.1016/j.aquaculture.2025.742367,Web of Science
2025,"Robin P.M. Gauff, Stephane Greff, Olivier Bohner, Stephane Loisel, Christophe Lejeusne, Dominique Davoult",Fouling community shows high resistance and metabolic resilience towards experimental high intensity heatwave,Bugula neritina,Bryzoan,Temperature,Metabolomics,Untargeted (but not explicitly stated),UPLC-MS,Steady state,"PCA with MetaboAnalyst, PPLS-DA Model Validation Analysis and pairwise test from RVAideMemoire",None,Community composition ,None,None,"Metabolome was largely unchanged after heat stress, showing resilience to high temperature","Climate change is predicted to increase the prevalence of marine heatwaves with an increase in heatwave frequency and intensity. While some studies have shown the effect of marine heatwaves in warm temperate climates and the effect of overall higher temperature in warm and cold temperate climates, it is yet not entirely understood how heatwaves impact marine urban communities in cold temperate climates. As thermal resistance might be related to selective pressures and acclimation, it seems reasonable to assume that they may have a strong impact on local fauna and flora. In the present study, we simulated an in situ high amplitude heatwave and observed the community structure and the metabolism of Bugula neritina at two time-steps after the heatwave and compared them to control communities and individuals. Contrary to our expectations, the community structure remained vastly unaffected, as did the total metabolome of B. neritina. This shows that the community was able to resist the disturbance of the heatwave. Bugula neritina additionally showed a certain metabolic resilience as the already minor differences in the metabolome between control and the heatwave treatment diminished even further between the tested time steps.",10.1016/j.marenvres.2024.106813,Manual
2025,"Antoine Minet, Steven Melvin, Marc Metian, Angus Taylor, François Oberhänsli, Christel Lefrançois, Peter Swarzenski, Paco Bustamante, Thomas Lacoue-Labarthe",Metabolomic and phenotypic effects of ocean acidification on cuttlefish differ across early life stages,Sepia officinalis,Mollusc,Ocean acidification,Metabolomics,Untargeted,1H-NMR,Steady state,"PCA, PLS-DA, Significance Analysis of Metabolites, ASCA",None,"Maximal oxygen uptake, egg size, egg surface area, egg development, hatching success",None,None,"Embryos experienced metabolic depression in pH < 7.54, but life-stage transition had a more profound impact on the metabolome","Ocean acidification (OA) affects the physiology and behaviour of some marine organisms, impacting their development and metabolism during vulnerable early-life stages. Among them, the embryo of the cuttlefish develops for about two months in encapsulated eggs with harsh perivitelline conditions of hypoxia and hypercapnia, potentially worsened by OA. In this study, common cuttlefish Sepia officinalis embryos and juveniles, were exposed to five pH conditions (pHT 8.08 to 7.43). Growth, development and metabolite profiles were explored during the embryonic development period up to 10 days-post-hatching. Our results show delayed embryonic development and decreased hatching success at pH 7.43, but no effect on juvenile weight upon hatching. The 1H Nuclear Magnetic Resonance (NMR) spectroscopy revealed that decreasing pH affected metabolites profiles in embryos until a metabolic suppression was observed at pH 7.43. The O2 consumption in 10d-old juveniles did not change with pH whereas metabolites indicated a switch to anaerobic metabolism under low pH. Overall, our results suggest that the transition from the encapsulated embryonic stage to the free juvenile life shapes a metabolomic reprogramming more drastically than ocean acidification.",10.1016/j.marenvres.2025.107013,Manual
2024,"Huffmyer, Ariana S.; Ashey, Jill; Chiles, Eric N.; Su, Xiaoyang; Putnam, Hollie M.",Coral larvae increase nitrogen assimilation to stabilize algal symbiosis and combat bleaching under increased temperature,Montipora capitata,Cnidarian,Temperature,Metabolomics,Targeted,UHPLC-MS,Metabolic flux; 13C,PCA and PERMANOVA; ANOVA with FDR and posthocs; PLSDA and VIP identification,Manual mapping and targeted hypotheses,Survival; settlement; chlorophyll; symbiont density; photosynthesis; respiration; larval size; carbohydrate content ,None,None,Larvae shifted carbon and nitrogen assimilation to avoid bleaching under elevated temperature,"Rising sea surface temperatures are increasingly causing breakdown in the nutritional relationship between corals and algal endosymbionts (Symbiodiniaceae), threatening the basis of coral reef ecosystems and highlighting the critical role of coral reproduction in reef maintenance. The effects of thermal stress on metabolic exchange (i.e., transfer of fixed carbon photosynthates from symbiont to host) during sensitive early life stages, however, remains understudied. We exposed symbiotic Montipora capitata coral larvae in Hawaiʻi to high temperature (+2.5°C for 3 days), assessed rates of photosynthesis and respiration, and used stable isotope tracing (4 mM 13C sodium bicarbonate; 4.5 h) to quantify metabolite exchange. While larvae did not show any signs of bleaching and did not experience declines in survival and settlement, metabolic depression was significant under high temperature, indicated by a 19% reduction in respiration rates, but with no change in photosynthesis. Larvae exposed to high temperature showed evidence for maintained translocation of a major photosynthate, glucose, from the symbiont, but there was reduced metabolism of glucose through central carbon metabolism (i.e., glycolysis). The larval host invested in nitrogen cycling by increasing ammonium assimilation, urea metabolism, and sequestration of nitrogen into dipeptides, a mechanism that may support the maintenance of glucose translocation under thermal stress. Host nitrogen assimilation via dipeptide synthesis appears to be used for nitrogen limitation to the Symbiodiniaceae, and we hypothesize that nitrogen limitation contributes to retention of fixed carbon by favoring photosynthate translocation to the host. Collectively, our findings indicate that although these larvae are susceptible to metabolic stress under high temperature, diverting energy to nitrogen assimilation to maintain symbiont population density, photosynthesis, and carbon translocation may allow larvae to avoid bleaching and highlights potential life stage specific metabolic responses to stress.",10.1371/journal.pbio.3002875,Web of Science
2024,"Zheng, Jian; Li, Congjun; Li, Shuwen; Zheng, Xiaodong",Decabromodiphenyl ethane (DBDPE) inhibited the growth and feeding by disrupting the gut and digestive gland homeostasis in octopus Amphioctopus fangsiao (Mollusca: Cephalopoda).,Amphioctopus fangsiao,Mollusc,Pollutant,Metabolomics,Untargeted,LC-MS,Steady state,"PLSDA, VIP",Identified metabolites were annotated with KEGG and human metabolome database; statistical methods not indicated ,"Growth, histology, RT-qPCR",16s microbial diversity,None,Chronic toxicant exposure negatively impacts various metabolic processes,"A novel brominated flame retardant decabromodiphenyl ethane (DBDPE) poses a potential threat to animals, but its effects on cephalopods remain unknown. In this study, Amphioctopus fangsiao, a common octopus in China, was exposed to DBDPE (0, 1, 50, 100, 300mug/L) for 28days. Chemical analysis revealed that the digestive gland bore a greater burden of DBDPE compared with other tissues. In addition, accumulated DBDPE could curb the growth and feeding performance of A. fangsiao. The potential effects on the gut-digestive gland axis were also elucidated. Specifically, DBDPE in the gut shifted the microorganisms toward a Bacteroidetes-dominated composition, and impaired the intestinal epithelial barrier, thereby triggering oxidative stress and inflammation. Excessive DBDPE also threatens the digestive gland function, including histological damage, immune reaction, oxidative stress, glucolipid metabolism dysfunction, and neurotoxicity. Metabolome plasticity enabled A. fangsiao to develop a DBDPE stress-adaptive metabolic profile via alteration of glucolipid metabolism, immunity, oxidative stress, and signaling molecules. Taken together, we identified a new detoxification mechanism linking the microbiota-gut-digestive gland axis with the growth and food intake of A. fangsiao, which is the first time it has been demonstrated in mollusks. These findings provided important clues for a further mechanism study and risk assessment of DBDPE.",10.1016/j.scitotenv.2024.177364 ,Web of Science
2024,"Jianqiang Zhu, Wenjun Shi, Ran Zhao ,Chen Gu, Hui Li, Libao Wang, Xihe Wan",Effects of Cold Stress on the Hemolymph of the Pacific White Shrimp Penaeus vannamei,Penaeus vannamei,Crustacean,Tempearture,Metabolomics,Untargeted (but not explicitly stated),LC-MS,Steady state,"PCA, OPLS-DA, VIP",KEGG pathway enrichment,Enzyme assays,Transcriptomics,"Combined KEGG pathway analysis, Pearson correlation coefficients, correlation network analysis with Cytoscape",Regulation of amino acid and lilpid metabolism increased energy availiability and cell membrane integrity in cold temperatures,"Temperature is an important factor in the physiological processes of aquatic organisms and can seriously affect several chemical and biological processes in their bodies, including respiratory metabolism, antioxidant capacity, immune capacity, and signal transduction. In this study, physiological, transcriptomic, and metabolomic analyses were used to investigate the response of Penaeus vannamei to cold stress. The results indicated that cold stress disrupted nucleotide metabolism and inhibited gluconeogenesis. However, shrimp exhibited response mechanisms in order to enhance cold tolerance, regulating changes in key genes and metabolites in amino acid and lipid metabolism to increase energy supply and protect cell membrane stability. In addition, the response included regulating Ca2+ pumps and ion channels to maintain intracellular ion homeostasis and osmotic balance. When the temperature dropped further, oxidative damage occurred due to overwhelming of the antioxidant defense system, and immune function was inhibited. This research provides some references regarding the molecular mechanisms involved in responding to cold stress and potential strategies to improve cold tolerance in P. vannamei; these are important references for studying the cold stress response of shrimp.",10.3390/fishes9010036,Manual
2024,"Zhou, Yanyu; Li, Qiuli; Zhang, Quan; Yuan, Meile; Zhu, Xiaoshan; Li, Yuanchao; Li, Qipei; Downs, Craig A.; Huang, Danwei; Chou, Loke-Ming; Zhao, Hongwei",Environmental Concentrations of Herbicide Prometryn Render Stress-Tolerant Corals Susceptible to Ocean Warming,Galaxea fascicularis,Cnidarian,Pollutant,Metabolomics,Untargeted,LC-MS,Steady state,PCA; OPLSDA; VIP identification,Identified metabolites were annotated with KEGG and human metabolome database; statistical methods not indicated ,Photosynthetic efficiency; chlorophyll; symbiont community; symbiont density; ROS concentration,Transcriptomics,Correlation between gene and metabolites using two way O2PLS and Spearman correlation using OmicsPLS package,Toxins increase sensitivity to heat stress and breakdown the symbiotic relationship; amplifies temperature stress on key metabolic pathways ,"Global warming has caused the degradation of coral reefs around the world. While stress-tolerant corals have demonstrated the ability to acclimatize to ocean warming, it remains unclear whether they can sustain their thermal resilience when superimposed with other coastal environmental stressors. We report the combined impacts of a photosystem II (PSII) herbicide, prometryn, and ocean warming on the stress-tolerant coral Galaxea fascicularis through physiological and omics analyses. The results demonstrate that the heat-stress-induced inhibition of photosynthetic efficiency in G. fascicularis is exacerbated in the presence of prometryn. Transcriptomics and metabolomics analyses indicate that the prometryn exposure may overwhelm the photosystem repair mechanism in stress-tolerant corals, thereby compromising their capacity for thermal acclimation. Moreover, prometryn might amplify the adverse effects of heat stress on key energy and nutrient metabolism pathways and induce a stronger response to oxidative stress in stress-tolerant corals. The findings indicate that the presence of prometryn at environmentally relevant concentrations would render corals more susceptible to heat stress and exacerbate the breakdown of coral Symbiodiniaceae symbiosis. The present study provides valuable insights into the necessity of prioritizing PSII herbicide pollution reduction in coral reef protection efforts while mitigating the effects of climate change.",10.1021/acs.est.3c10417,Both
2024,"Zhou, Yanyu; Li, Qiuli; Zhang, Quan; Yuan, Meile; Zhu, Xiaoshan; Li, Yuanchao; Li, Qipei; Downs, Craig A.; Huang, Danwei; Chou, Loke-Ming; Zhao, Hongwei",Environmental Concentrations of Herbicide Prometryn Render Stress-Tolerant Corals Susceptible to Ocean Warming,Galaxea fascicularis,Cnidarian,Temperature,Metabolomics,Untargeted,LC-MS,Steady state,PCA; OPLSDA; VIP identification,Identified metabolites were annotated with KEGG and human metabolome database; statistical methods not indicated ,Photosynthetic efficiency; chlorophyll; symbiont community; symbiont density; ROS concentration,Transcriptomics,Correlation between gene and metabolites using two way O2PLS and Spearman correlation using OmicsPLS package,Toxins increase sensitivity to heat stress and breakdown the symbiotic relationship; amplifies temperature stress on key metabolic pathways ,"Global warming has caused the degradation of coral reefs around the world. While stress-tolerant corals have demonstrated the ability to acclimatize to ocean warming, it remains unclear whether they can sustain their thermal resilience when superimposed with other coastal environmental stressors. We report the combined impacts of a photosystem II (PSII) herbicide, prometryn, and ocean warming on the stress-tolerant coral Galaxea fascicularis through physiological and omics analyses. The results demonstrate that the heat-stress-induced inhibition of photosynthetic efficiency in G. fascicularis is exacerbated in the presence of prometryn. Transcriptomics and metabolomics analyses indicate that the prometryn exposure may overwhelm the photosystem repair mechanism in stress-tolerant corals, thereby compromising their capacity for thermal acclimation. Moreover, prometryn might amplify the adverse effects of heat stress on key energy and nutrient metabolism pathways and induce a stronger response to oxidative stress in stress-tolerant corals. The findings indicate that the presence of prometryn at environmentally relevant concentrations would render corals more susceptible to heat stress and exacerbate the breakdown of coral Symbiodiniaceae symbiosis. The present study provides valuable insights into the necessity of prioritizing PSII herbicide pollution reduction in coral reef protection efforts while mitigating the effects of climate change.",10.1021/acs.est.3c10417,Both
2024,"Geng, Qianqian; Zou, Liang; Guo, Mengmeng; Peng, Jixing; Li, Fengling; Bi, Yujie; Jiang, Shuqi; Qin, Hanlin; Tan, Zhijun",Insights into the combined toxicity and mechanisms of BDE-47 and PFOA in marine blue mussel: An integrated study at the physiochemical and molecular levels,Mytilus galloprovincialis,Mollusc,Pollutant,Metabolomics,Untargeted,LC-MS,Steady state,VIP,Mapping to HMDB and KEGG databases,"Histopathology, enzyme activities",Transcriptomics,"Correlations and KEGG analysis comparison, network visualization with Cytoscape",Differentially expressed genes and metabolites operate across different biological pathways,"The coexistence of multiple emerging contaminants imposes a substantial burden on the ecophysiological functions in organisms. The combined toxicity and underlying mechanism requires in-depth understanding. Here, marine blue mussel (Mytilus galloprovincialis L.) was selected and exposed to 2,2 ',4,4 '-tetrabromodiphenyl ether (BDE-47) and perfluorooctanoic acid (PFOA) individually and in combination at environmental related concentrations to elucidate differences in stress responses and potential toxicological mechanisms. Characterization and comparison of accumulation, biomarkers, histopathology, transcriptomics and metabolomics were performed. Co-exposure resulted in differential accumulation patterns, exacerbated histopathological alterations, and different responses in oxidative stress and biomarkers for xenobiotic transportation. Moreover, the identified differentially expressed genes (DEGs) and differential metabolites (DEMs) in mussels were found to be annotated to different metabolic pathways. Correlation analyses further indicated that DEGs and DEMs were significantly correlated with the above biomarkers. BDE-47 and PFOA altered the genes and metabolites related to amino acid metabolism, energy and purine metabolism, ABC transporters, and glutathione metabolism to varying degrees, subsequently inducing accumulation differences and combined toxicity. Furthermore, the present work highlighted the pivotal role of Nrf2-keap1 detoxification pathway in the acclimation of M. galloprovincialis to reactive oxygen species (ROS) stress induced by BDE-47 and PFOA. This study enabled more comprehensive understanding of combined toxic mechanism of multi emerging contaminants pollution.",10.1016/j.aquatox.2024.106999,Both
2024,"Koch, Marie; Jungblut, Simon; Goetze, Sandra; Bock, Christian; Saborowski, Reinhard","Marine heatwaves in the Subarctic and the effect of acute temperature change on the key grazer Strongylocentrotus droebachiensis (Echinoidea, Echinodermata)",Strongylocentrotus droebachiensis,Echinoderm,Temperature,Metabolomics,Untargeted,1H-NMR,Steady state,"ANOVA, PLS-DA, and VIP using MetaboAnalyst",None,Grazing rate,None,None,High temperature tips urchins into anaerobic metabolic state,"Subarctic fjord systems are facing a continuous temperature increase as well as more frequent and more intense marine heatwaves (MHWs). MHWs are periods of exceptionally high temperatures above the long-term average. In the Porsangerfjord (Northern Norway), the average water temperature ranges from 2.5 degrees C in March to 10 degrees C in August. MHWs frequently exceed the summer maximum by up to 6 degrees C with so far unknown ecological effects. The green sea urchin, Strongylocentrotus droebachiensis, is a key grazer on habitat-forming kelp in Subarctic fjord systems. At high abundances, sea urchins transform productive kelp beds through pronounced grazing into depleted sea urchin barrens. In a laboratory experiment, we investigated the influence of acute temperature change on the grazing activity and the metabolic performance of the green sea urchin. Grazing rates increased continuously from 2 to 10 degrees C but decreased again at 14 degrees C. At 22 degrees C, rapid decay of sea urchins were associated with changes of the metabolic energy state from aerobiosis to anaerobiosis. We propose two scenarios: Moderate warming might lead to the proliferation of the sea urchin population and increased grazing pressure on kelp forests, while extreme warming, as predicted by the end of the century, as well as the occurrence of extreme MHWs, may severely impair the sea urchin population and, in turn, might favour the proliferation of adaptable kelp species.",10.1093/icesjms/fsae181,Web of Science
